Real (mm),Measured (mm),Count
50,140,1
50,141,2
50,141,3
50,141,4
50,141,5
50,141,6
50,141,7
50,141,8
50,141,9
50,141,10
50,141,11
50,140,12
50,141,13
50,141,14
50,141,15
50,141,16
50,142,17
50,141,18
50,141,19
50,141,20
50,141,21
50,141,22
50,142,23
50,144,24
50,142,25
50,142,26
50,145,27
50,145,28
50,145,29
50,146,30
50,143,31
50,142,32
50,142,33
50,143,34
50,144,35
50,144,36
50,143,37
50,142,38
50,143,39
50,143,40
50,143,41
50,143,42
50,143,43
50,143,44
50,144,45
50,143,46
50,143,47
50,143,48
50,142,49
100,140,1
100,141,2
100,141,3
100,141,4
100,141,5
100,141,6
100,141,7
100,141,8
100,141,9
100,141,10
100,141,11
100,140,12
100,141,13
100,141,14
100,141,15
100,141,16
100,142,17
100,141,18
100,141,19
100,141,20
100,141,21
100,141,22
100,142,23
100,144,24
100,142,25
100,142,26
100,145,27
100,145,28
100,145,29
100,146,30
100,143,31
100,142,32
100,142,33
100,143,34
100,144,35
100,144,36
100,143,37
100,142,38
100,143,39
100,143,40
100,143,41
100,143,42
100,143,43
100,143,44
100,144,45
100,143,46
100,143,47
100,143,48
100,142,49
150,190,1
150,191,2
150,191,3
150,191,4
150,191,5
150,191,6
150,191,7
150,190,8
150,191,9
150,191,10
150,191,11
150,191,12
150,192,13
150,191,14
150,192,15
150,191,16
150,191,17
150,192,18
150,191,19
150,190,20
150,196,21
150,198,22
150,199,23
150,200,24
150,200,25
150,201,26
150,200,27
150,194,28
150,194,29
150,193,30
150,192,31
150,193,32
150,193,33
150,193,34
150,193,35
150,193,36
150,193,37
150,193,38
150,193,39
150,193,40
150,193,41
150,193,42
150,193,43
150,193,44
150,193,45
150,193,46
150,194,47
150,193,48
150,193,49
200,240,1
200,239,2
200,240,3
200,241,4
200,241,5
200,240,6
200,240,7
200,241,8
200,241,9
200,240,10
200,241,11
200,241,12
200,241,13
200,241,14
200,242,15
200,241,16
200,242,17
200,244,18
200,247,19
200,247,20
200,247,21
200,244,22
200,243,23
200,242,24
200,241,25
200,242,26
200,242,27
200,242,28
200,241,29
200,242,30
200,241,31
200,241,32
200,242,33
200,241,34
200,241,35
200,242,36
200,241,37
200,242,38
200,241,39
200,242,40
200,242,41
200,242,42
200,241,43
200,242,44
200,241,45
200,242,46
200,240,47
200,240,48
200,241,49
250,280,1
250,281,2
250,283,3
250,281,4
250,281,5
250,282,6
250,282,7
250,282,8
250,282,9
250,282,10
250,282,11
250,282,12
250,282,13
250,282,14
250,283,15
250,283,16
250,283,17
250,282,18
250,282,19
250,282,20
250,282,21
250,283,22
250,282,23
250,282,24
250,282,25
250,282,26
250,283,27
250,283,28
250,282,29
250,283,30
250,282,31
250,283,32
250,282,33
250,283,34
250,282,35
250,283,36
250,283,37
250,282,38
250,283,39
250,282,40
250,283,41
250,282,42
250,282,43
250,283,44
250,282,45
250,283,46
250,282,47
250,282,48
250,282,49
300,328,1
300,329,2
300,330,3
300,330,4
300,329,5
300,330,6
300,330,7
300,329,8
300,329,9
300,330,10
300,329,11
300,330,12
300,330,13
300,330,14
300,331,15
300,330,16
300,331,17
300,330,18
300,330,19
300,331,20
300,331,21
300,331,22
300,331,23
300,331,24
300,330,25
300,331,26
300,330,27
300,331,28
300,330,29
300,331,30
300,331,31
300,330,32
300,331,33
300,329,34
300,331,35
300,330,36
300,331,37
300,331,38
300,331,39
300,331,40
300,331,41
300,330,42
300,331,43
300,329,44
300,330,45
300,330,46
300,331,47
300,331,48
300,331,49
350,365,1
350,365,2
350,365,3
350,364,4
350,364,5
350,364,6
350,365,7
350,365,8
350,365,9
350,364,10
350,366,11
350,366,12
350,366,13
350,365,14
350,366,15
350,364,16
350,366,17
350,364,18
350,366,19
350,366,20
350,364,21
350,366,22
350,366,23
350,366,24
350,366,25
350,365,26
350,364,27
350,366,28
350,366,29
350,366,30
350,365,31
350,366,32
350,366,33
350,366,34
350,366,35
350,366,36
350,366,37
350,365,38
350,367,39
350,364,40
350,364,41
350,367,42
350,366,43
350,365,44
350,365,45
350,366,46
350,365,47
350,365,48
350,365,49
350,366,50
400,401,1
400,400,2
400,403,3
400,404,4
400,401,5
400,403,6
400,402,7
400,403,8
400,404,9
400,403,10
400,403,11
400,404,12
400,403,13
400,403,14
400,402,15
400,403,16
400,403,17
400,403,18
400,404,19
400,403,20
400,405,21
400,404,22
400,403,23
400,403,24
400,404,25
400,405,26
400,403,27
400,404,28
400,405,29
400,404,30
400,403,31
400,405,32
400,404,33
400,404,34
400,405,35
400,404,36
400,405,37
400,405,38
400,404,39
400,405,40
400,404,41
400,404,42
400,404,43
400,404,44
400,404,45
400,405,46
400,404,47
400,404,48
400,405,49
400,404,50
450,426,1
450,427,2
450,427,3
450,427,4
450,428,5
450,428,6
450,428,7
450,427,8
450,429,9
450,428,10
450,429,11
450,429,12
450,430,13
450,430,14
450,430,15
450,428,16
450,431,17
450,431,18
450,433,19
450,429,20
450,431,21
450,428,22
450,431,23
450,431,24
450,430,25
450,427,26
450,430,27
450,430,28
450,430,29
450,431,30
450,430,31
450,429,32
450,430,33
450,430,34
450,430,35
450,429,36
450,431,37
450,431,38
450,430,39
450,431,40
450,430,41
450,429,42
450,429,43
450,431,44
450,430,45
450,431,46
450,432,47
450,430,48
450,428,49
450,430,50
500,449,1
500,450,2
500,450,3
500,452,4
500,451,5
500,451,6
500,452,7
500,450,8
500,452,9
500,452,10
500,451,11
500,452,12
500,453,13
500,450,14
500,454,15
500,452,16
500,451,17
500,455,18
500,455,19
500,454,20
500,452,21
500,453,22
500,452,23
500,453,24
500,452,25
500,453,26
500,453,27
500,453,28
500,451,29
500,455,30
500,453,31
500,454,32
500,452,33
500,451,34
500,453,35
500,452,36
500,454,37
500,452,38
500,453,39
500,451,40
500,452,41
500,453,42
500,454,43
500,452,44
500,453,45
500,452,46
500,452,47
500,452,48
500,454,49
550,473,1
550,475,2
550,473,3
550,475,4
550,473,5
550,477,6
550,473,7
550,476,8
550,474,9
550,475,10
550,474,11
550,475,12
550,476,13
550,475,14
550,477,15
550,475,16
550,475,17
550,474,18
550,475,19
550,477,20
550,479,21
550,474,22
550,478,23
550,480,24
550,477,25
550,473,26
